geneId	total	isoform_def	isoform_undef
Adora2b	1	1	0
Gamt	34	33	1
Adora2a	2	1	1
Psme4	21	17	4
Psme3	59	42	17
Rrp1	334	282	52
Fam50a	65	63	2
Ccdc65	1	1	0
Ccdc66	23	18	5
Psme2	137	135	2
Vps35	106	100	6
Psme1	183	137	46
Vps36	140	133	7
Ccdc61	15	10	5
Elk1	11	4	7
Ccdc62	2	0	2
Cyb561d2	28	25	3
Cyb561d1	5	1	4
Rrp9	70	64	6
Elk3	6	2	4
Ganc	9	6	3
Vps39	21	0	21
Rrp8	32	26	6
Vps29	213	194	19
Elk4	9	2	7
Ipo11	16	7	9
Mtap	29	25	4
Ipo13	23	23	0
Abcb6	14	13	1
Ccdc58	41	37	4
Sdpr	5	4	1
Abcb7	10	0	10
Ccdc59	140	86	54
Ccdc57	3	3	0
Agap1	39	4	35
Agap2	3	0	3
Osbpl11	19	0	19
Abcb8	13	5	8
Agap3	42	26	16
Tcp11l1	14	12	2
Osbpl10	1	0	1
Abcb9	7	5	2
Tcp11l2	24	21	3
1110020A21Rik	3	3	0
Rd3	1	1	0
Mex3a	173	3	170
Cldn3	39	39	0
Rala	490	449	41
Gm4353	5	2	3
Ralb	26	17	9
Mex3b	49	19	30
Galt	7	7	0
Col22a1	7	3	4
Psmf1	42	33	9
Hus1	6	1	5
Ccdc50	85	39	46
Pusl1	34	33	1
Ccdc51	17	17	0
Vps18	12	2	10
Chid1	33	2	31
Abcc1	7	1	6
Prkcsh	109	84	25
Ccdc47	28	12	16
Abcc8	6	0	6
Ehmt2	94	33	61
Abcc5	32	19	13
Raly	101	19	82
Ehmt1	107	7	100
Arap2	4	1	3
Mex3c	9	2	7
Mex3d	19	6	13
Mcam	2	0	2
Ccdc43	31	9	22
Psmg2	62	60	2
Vps11	20	15	5
Psmg1	39	39	0
Psmg4	170	170	0
Psmg3	3	0	3
Mcat	33	24	9
Ccdc40	8	5	3
Vps16	30	30	0
Ankra2	65	51	14
Abr	67	28	39
Cadm4	100	85	15
Mfsd10	25	7	18
Wdhd1	11	3	8
Bcan	16	11	5
Cadm3	64	38	26
Mfsd11	10	1	9
Chic2	142	130	12
Bcam	3	3	0
Ccdc39	11	2	9
Mfsd12	8	4	4
Chic1	17	10	7
Ccdc34	345	149	196
Cadm2	40	0	40
Cadm1	88	34	54
Gar1	107	107	0
Rrs1	54	53	1
Zranb1	79	18	61
Cldn1	1	0	1
Zranb2	211	74	137
Zranb3	6	1	5
Plk5	2	2	0
Abtb1	18	15	3
Btf3	1500	1483	17
Abtb2	4	4	0
Bloc1s1	1	0	1
Plk3	7	6	1
Bloc1s2	112	111	1
Plk4	17	7	10
Bloc1s3	8	6	2
Acd	88	66	22
Plk1	58	57	1
Bloc1s4	60	60	0
Sec61g	294	19	275
Plk2	86	80	6
Bloc1s5	36	32	4
Bloc1s6	57	25	32
Rdx	226	20	206
