geneId	total	isoform_def	isoform_undef
Adora2b	1	1	0
Gamt	32	28	4
Adora2a	2	1	1
Psme4	20	0	20
Psme3	54	33	21
Rrp1	315	54	261
Fam50a	58	25	33
Ccdc65	1	0	1
Ccdc66	22	1	21
Psme2	13	9	4
Vps35	104	46	58
Psme1	172	134	38
Vps36	132	32	100
Ccdc61	16	3	13
Elk1	10	0	10
Ccdc62	2	2	0
Cyb561d2	29	26	3
Cyb561d1	5	1	4
Rrp9	69	51	18
Elk3	6	2	4
Ganc	8	5	3
Vps39	18	0	18
Rrp8	30	13	17
Vps29	209	179	30
Elk4	8	1	7
Ipo11	15	2	13
Mtap	28	23	5
Ipo13	22	4	18
Abcb6	12	1	11
Ccdc58	41	37	4
Sdpr	4	3	1
Abcb7	9	0	9
Ccdc59	132	64	68
Ccdc57	3	1	2
Agap1	38	33	5
Agap2	3	0	3
Osbpl11	20	1	19
Abcb8	15	4	11
Agap3	37	5	32
Tcp11l1	14	10	4
Osbpl10	1	0	1
Abcb9	7	1	6
Tcp11l2	24	18	6
1110020A21Rik	4	3	1
Rd3	1	1	0
Mex3a	158	3	155
Cldn3	38	38	0
Rala	482	383	99
Gm4353	28	26	2
Ralb	22	16	6
Mex3b	45	15	30
Galt	7	4	3
Col22a1	5	1	4
Psmf1	40	33	7
Hus1	6	1	5
Vps25	1	0	1
Ccdc50	78	31	47
Pusl1	34	10	24
Ccdc51	17	16	1
Vps18	11	2	9
Chid1	31	14	17
Abcc1	6	5	1
Prkcsh	105	67	38
Ccdc47	38	6	32
Abcc8	4	0	4
Ehmt2	89	17	72
Abcc5	31	14	17
Raly	182	19	163
Ehmt1	103	3	100
Arap2	3	2	1
Mex3c	6	1	5
Mex3d	18	6	12
Mcam	2	0	2
Ccdc43	28	23	5
Psmg2	59	54	5
Vps11	16	6	10
Psmg1	39	34	5
Psmg4	156	154	2
Psmg3	5	4	1
Mcat	29	20	9
Ccdc40	7	2	5
Vps16	28	5	23
Ankra2	63	39	24
Abr	62	11	51
Cadm4	101	65	36
Mfsd10	24	7	17
Wdhd1	11	0	11
Bcan	16	2	14
Cadm3	64	27	37
Mfsd11	19	1	18
Chic2	140	118	22
Bcam	3	3	0
Ccdc39	10	0	10
Mfsd12	8	3	5
Chic1	15	7	8
Ccdc34	334	36	298
Cadm2	45	0	45
Cadm1	202	0	202
Gar1	105	49	56
Rrs1	56	56	0
Zranb1	69	7	62
Zranb2	194	80	114
Zranb3	6	0	6
Plk5	2	0	2
Abtb1	19	4	15
Btf3	1463	1432	31
Abtb2	4	2	2
Bloc1s1	3	0	3
Plk3	8	3	5
Bloc1s2	110	102	8
Plk4	18	12	6
Bloc1s3	8	3	5
Acd	89	41	48
Plk1	56	42	14
Bloc1s4	59	58	1
Sec61g	223	143	80
Plk2	81	52	29
Bloc1s5	35	30	5
Bloc1s6	54	25	29
Rdx	216	3	213
Ccdc32	85	50	35
Bmpr1a	25	4	21
Ccdc33	1	0	1
Sec61b	457	452	5
Bmpr1b	6	0	6
Ccdc30	10	3	7
Asf1b	21	18	3
Asf1a	129	123	6
Pea15a	215	159	56
Abca1	12	0	12
Abca2	8	0	8
Mtbp	2	0	2
Abca5	11	0	11
Ccdc25	69	4	65
Abca3	29	4	25
Rel	4	0	4
Abca7	2	0	2
Ada	2	2	0
Acadsb	25	13	12
Ret	1	0	1
Psma4	456	401	55
Mfsd2a	12	5	7
Psma3	552	475	77
Btg3	16	14	2
Fgf14	3	0	3
Psma6	469	426	43
Btg2	187	155	32
Fgf15	4	4	0
Psma5	208	204	4
Btg1	218	182	36
4930507D05Rik	1	1	0
Glcci1	27	5	22
Psma2	445	414	31
Psma1	375	332	43
Rrp12	5	1	4
Ccdc22	45	31	14
Adk	46	36	10
Adm	1	1	0
Fgf12	10	0	10
Fgf13	62	7	55
Rrp15	29	23	6
Ado	16	15	1
Fgf10	5	3	2
Fam169a	6	3	3
Fgf11	11	0	11
Ccdc18	20	1	19
Fam168b	118	24	94
Fam168a	84	4	80
Isoc2b	1	1	0
Ccdc14	5	0	5
Mtg1	25	19	6
Ccdc15	9	0	9
Mtg2	46	12	34
Ccdc12	218	189	29
Rfk	30	19	11
Isoc2a	6	4	2
Rara	5	1	4
Rarb	2	2	0
Gars	150	18	132
Frmd4a	172	34	138
Frmd4b	118	44	74
Gart	56	31	25
Zik1	23	13	10
Psmb5	528	494	34
Tmem191c	8	0	8
Psmb4	471	447	24
Diexf	10	0	10
Psmb7	484	444	40
Psmb6	719	686	33
Nup85	47	23	24
Lrrc7	101	75	26
Psmb1	598	561	37
Edrf1	7	1	6
Lrrc9	2	0	2
Psmb3	430	341	89
Psmb2	466	441	25
Nup88	66	20	46
Aen	94	77	17
Fgf23	1	0	1
Sdsl	2	0	2
Aes	267	242	25
Mtdh	273	162	111
Ttyh3	106	97	9
Zkscan14	19	18	1
Diras1	14	1	13
Ttyh1	43	21	22
Diras2	4	0	4
Ttyh2	2	0	2
Mtf1	23	12	11
Zkscan17	15	0	15
Mtf2	105	8	97
Epdr1	16	15	1
Irak1bp1	114	104	10
Gas2	9	1	8
Gas1	89	87	2
Appbp2os	1	0	1
Gas6	8	4	4
Psma7	788	696	92
Gas8	43	32	11
Zfp335os	2	2	0
Gas7	15	0	15
Psmc6	271	218	53
Nup93	30	18	12
Rufy1	18	10	8
Psmc5	241	216	25
Lmbr1	14	1	13
Tmco6	5	1	4
Psmc2	180	0	180
Psmc1	157	85	72
Rufy2	41	7	34
Psmc4	318	267	51
Rufy3	214	145	69
Psmc3	190	116	74
Ep300	23	16	7
Gemin6	30	26	4
Gatc	57	49	8
Gemin7	84	82	2
Hsp90b1	275	32	243
Gatb	12	6	6
Nup98	1	0	1
Gemin4	1	0	1
Rrp36	8	3	5
Gemin5	5	0	5
Gemin8	16	15	1
Rhd	1	1	0
Tbccd1	8	5	3
Gatm	3	2	1
Nfib	984	201	783
RP23-291B1.2	9	9	0
Nfia	106	3	103
Nfic	35	8	27
Lrrc3	4	0	4
Rrp1b	41	2	39
Rho	1	0	1
Lrrc4	8	8	0
Zim1	2	0	2
Ikbkap	45	6	39
Fosb	10	10	0
Aga	5	2	3
Lrrc6	2	0	2
Tmco3	20	16	4
Lrrc1	7	4	3
Tmco1	80	66	14
Spsb2	2	1	1
Psmd7	319	303	16
Spsb3	62	37	25
Psmd6	240	224	16
Rarg	3	0	3
Ankrd9	7	6	1
Psmd9	91	86	5
Spsb1	3	1	2
Psmd8	336	307	29
Agk	29	20	9
Psmd3	130	95	35
Psmd2	157	74	83
Psmd5	63	46	17
Agl	16	3	13
Psmd4	294	232	62
Elp2	41	24	17
Scand1	312	128	184
Elp4	29	22	7
Psmd1	130	7	123
Elp3	72	34	38
Pdzrn4	14	9	5
Elp6	45	38	7
Ankrd6	21	2	19
Elp5	85	44	41
Spsb4	24	18	6
Pdzrn3	27	4	23
Ccl25	30	21	9
Mcee	35	28	7
Gemin2	15	12	3
Rars	50	30	20
Plp2	28	27	1
Tubb4b	462	413	49
Plp1	14	1	13
Tubb4a	97	42	55
Atxn3	17	11	6
Brinp2	32	25	7
Brinp1	9	3	6
Atxn1	12	0	12
Atxn2	48	18	30
Ripply2	6	5	1
Atxn7	24	0	24
Rimbp2	2	0	2
Rnpepl1	37	23	14
Ahr	8	0	8
Nepro	4	3	1
Tmem194b	4	3	1
Brinp3	1	0	1
Fam58b	50	49	1
Hist1h3e	10	10	0
Hist1h3b	4	4	0
Trp53rkb	20	8	12
Chrnb2	15	2	13
Hist1h3c	4	4	0
Trp53rka	42	27	15
Chrnb1	1	0	1
Emx2os	3	0	3
Hist1h3h	3	3	0
Hist1h3i	2	2	0
Hist1h3f	7	7	0
Hist1h3g	2	2	0
Pls3	16	1	15
Oip5	8	7	1
Hist1h3a	4	4	0
Adamts1	12	1	11
Btaf1	10	0	10
Nfix	1026	85	941
Tubb2b	8777	7749	1028
Adamts5	6	0	6
Tubb2a	804	697	107
Mtrf1	8	5	3
Adamts4	6	0	6
Ak1	50	30	20
Adamts3	2	0	2
Adamts2	4	0	4
Cfl1	2039	1822	217
Dio2	1	0	1
Ak3	43	27	16
Cfl2	349	262	87
Dio3	1	1	0
Ak2	137	100	37
Aip	73	59	14
Rab3gap2	3	2	1
Ak5	1	1	0
Adamts7	6	1	5
Ak4	2	2	0
Rab3gap1	8	3	5
Ak6	35	2	33
Gtf2i	89	27	62
Ak8	1	0	1
Fam57a	3	2	1
Nomo1	19	1	18
Fam57b	132	92	40
Cept1	18	9	9
Gtf2b	88	77	11
Pipox	6	1	5
Thg1l	2	1	1
Sesn2	3	3	0
Gm26902	1	0	1
Sesn1	22	4	18
Porcn	16	0	16
Scmh1	46	28	18
Cnot11	25	17	8
Rilpl2	32	30	2
Rilpl1	17	11	6
Sesn3	21	17	4
Eif4ebp2	21	5	16
Eif4ebp1	13	12	1
Rlf	21	17	4
Map4k5	19	2	17
Map4k4	183	126	57
Mtm1	2	0	2
Map4k3	7	0	7
Hist1h1b	30	29	1
Hist1h1c	175	173	2
Hist1h1a	9	9	0
Hist1h1d	17	17	0
Hist1h1e	27	27	0
Angel2	95	18	77
Cnot10	31	9	22
Gtf3a	137	120	17
Angel1	2	0	2
Mcl1	50	18	32
Ptpre	7	0	7
Ptprd	238	0	238
Ptpra	98	29	69
Map4k2	2	0	2
Mypop	13	10	3
Map4k1	7	0	7
Bcl9	57	13	44
Bcl6	2	0	2
Chrna7	3	3	0
Lztfl1	111	95	16
Bcl2	29	29	0
Tsen2	56	17	39
Pdlim3	5	3	2
Sap30l	29	21	8
Alk	2	0	2
Picalm	30	17	13
Pdlim1	7	6	1
Vps72	215	178	37
Mcm7	133	74	59
Mcm8	8	1	7
Mcm9	1	0	1
Tnks1bp1	10	0	10
Galnt1	29	4	25
Tmem198b	1	0	1
Birc2	46	38	8
Galnt3	1	0	1
Galnt2	1	0	1
Pdlim7	125	70	55
Mto1	32	18	14
Birc6	63	22	41
Pdlim5	6	4	2
Birc5	159	139	20
Galnt7	4	1	3
Pdlim4	64	54	10
Rp2	14	8	6
Nfkbil1	25	24	1
Rp9	205	171	34
Nadk2	19	1	18
Psme2b	131	130	1
Amn	2	0	2
Rrp7a	70	57	13
Dis3	25	5	20
Them4	39	28	11
Amt	1	0	1
Them6	4	4	0
Fam53a	34	25	9
Fam53b	34	10	24
Fam53c	18	1	17
Osbp2	5	1	4
Vps4a	131	93	38
Vps4b	24	7	17
Mcm3	47	23	24
Mcm4	23	13	10
Mcm5	49	33	16
Mcm6	66	43	23
Pltp	2	1	1
Mcm2	63	26	37
Ank	8	2	6
Map1lc3a	438	407	31
Map1lc3b	687	668	19
Inafm2	5	5	0
Ganab	39	0	39
Ctdnep1	46	26	20
Inafm1	37	37	0
Vps50	63	45	18
Vps51	4	0	4
Vps52	26	8	18
Rpe	40	25	15
Vps53	39	14	25
Rrnad1	40	4	36
9130008F23Rik	3	3	0
Vps54	6	1	5
Osbpl1a	22	5	17
Ptpn9	20	5	15
D2hgdh	8	1	7
Ptpn2	37	24	13
Mtor	20	9	11
D930015E06Rik	71	43	28
Ptpn5	26	7	19
Ptpn4	27	0	27
Acadvl	38	28	10
Ptpn1	107	70	37
Nfs1	26	12	14
C1d	166	147	19
Arrb2	28	11	17
Arrb1	11	0	11
Bod1l	170	1	169
Vps41	80	27	53
Hist1h4m	1	1	0
Vps45	24	15	9
Iars2	8	3	5
Dpagt1	8	1	7
Galnt9	12	8	4
Hist1h4c	1	1	0
Hist1h4d	10	10	0
Hist1h4i	67	67	0
Hist1h4j	1	1	0
Apc	99	2	97
Hist1h4h	8	8	0
Dicer1	32	0	32
Hist1h4b	1	1	0
Enox1	20	3	17
Enox2	8	2	6
App	138	78	60
Abcb10	6	0	6
Mki67	66	0	66
Serbp1	817	657	160
Aqp9	1	0	1
Surf6	27	12	15
Rrh	4	4	0
Aqp5	1	1	0
Aqp4	1	0	1
Fnip1	12	1	11
Fnip2	5	0	5
Gba2	28	11	17
Sh3glb1	157	69	88
Sh3glb2	61	32	29
Nfu1	104	96	8
Cldnd1	133	97	36
Fbxl12os	5	4	1
Mvb12a	50	37	13
Gsap	5	1	4
Heca	2	0	2
Cxxc1	38	7	31
Mvb12b	76	62	14
Bcor	8	1	7
Cxxc4	20	18	2
Scamp3	56	50	6
Cxxc5	73	5	68
Scamp2	44	27	17
Scamp1	54	15	39
Mtpn	272	37	235
Scamp5	20	2	18
Aqr	21	0	21
Vps37a	32	14	18
Grpel2	68	57	11
Vps37b	128	102	26
Grpel1	132	125	7
Vps37d	39	25	14
Sympk	38	7	31
Ahdc1	31	1	30
