geneId	nbUmis	nbIsoformSet	nbIsoformNotSet
Adora2b	1	0	1
Adora2a	42	13	29
Rrp1	1758	1078	680
RP23-10L17.3	1	1	0
Fam50a	368	159	209
RP23-215B8.4	15	15	0
RP23-117O14.2	13	7	6
RP23-215B8.5	12	12	0
RP24-166N3.2	2	0	2
Vps35	495	168	327
Vps36	835	140	695
Elk1	85	0	85
Cyb561d2	221	193	28
Cyb561d1	18	3	15
Rrp9	273	200	73
Elk3	26	10	16
Vps39	78	4	74
RP23-215B8.3	29	29	0
Rrp8	136	76	60
Vps29	1226	977	249
Elk4	39	0	39
Abcb7	49	7	42
Abcb4	13	0	13
Abcb5	1	0	1
Osbpl11	163	20	143
Abcb8	184	64	120
Tcp11l1	124	74	50
Osbpl10	14	0	14
Abcb9	57	0	57
Tcp11l2	110	68	42
RP23-205D10.4	4	0	4
Pcnx4	102	4	98
Gm4353	1	0	1
RP24-167E3.1	1	0	1
Thegl	1	0	1
Hus1	29	5	24
Vps28	102	0	102
Abcc3	7	0	7
Vps18	128	44	84
Chid1	127	70	57
Abcc4	1	0	1
Abcc1	43	0	43
AC102457.2	1	0	1
RP23-397A17.1	1	0	1
Abcc8	42	1	41
Abcc5	230	97	133
RP23-478H2.2	1	0	1
Abcc9	8	1	7
RP23-135A21.4	5	0	5
RP23-135A21.3	1	0	1
Mcam	38	0	38
Vps11	93	44	49
RP24-396E16.1	29	29	0
Mcat	138	110	28
Vps16	220	57	163
Ankra2	445	287	158
Abr	266	32	234
Wdhd1	40	4	36
Bcan	87	22	65
Chic2	401	341	60
Bcam	3	1	2
Chic1	133	29	104
Rrs1	363	363	0
Gm20760	10	10	0
Plk5	2	0	2
a	2	0	2
Plk3	44	20	24
Ace	1	0	1
Plk4	109	47	62
Acd	514	260	254
Plk1	116	67	49
Plk2	550	198	352
Trbc2	1	0	1
Bmpr1a	132	7	125
Cyb561a3	4	0	4
Bmpr1b	19	5	14
Ell2	13	2	11
Grpr	1	1	0
Abca1	54	0	54
Abca2	64	0	64
Acr	32	0	32
Abca5	52	0	52
Abca3	158	9	149
Abca4	4	0	4
Abca9	2	0	2
z	6	6	0
Abca7	98	0	98
RP23-135A21.1	24	24	0
Ada	19	17	2
Glcci1	46	0	46
Rrp12	22	1	21
Adk	234	161	73
Adm	1	0	1
Rrp15	235	199	36
Ado	91	91	0
Rpl37rt	1802	0	1802
Zik1	137	46	91
Diexf	100	7	93
Folh1	1	0	1
Nup85	201	89	112
Lrrc7	515	382	133
RP23-37G19.2	12	0	12
Edrf1	72	3	69
Lrrc9	22	5	17
Nup88	274	40	234
Aen	407	306	101
Aes	1026	747	279
Diras1	108	18	90
Diras2	17	2	15
