"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","geneId","transcriptId"
"Gpm6b-ENSMUST00000112235.7",9.69336791852545e-20,-1.40511481800932,0.059,0.671,2.7261627934061e-15,"mature Glutamatergic","Gpm6b","ENSMUST00000112235.7"
"Gpm6b-ENSMUST00000112224.7",1.88483079405018e-11,-0.742139604458881,0.059,0.457,5.30089812518673e-07,"mature Glutamatergic","Gpm6b","ENSMUST00000112224.7"
"Gpm6b-ENSMUST00000112228.7",0.000161492020791913,0.433675167852389,0.261,0.043,1,"radial glia","Gpm6b","ENSMUST00000112228.7"
"Gpm6b-ENSMUST00000060210.13",0.000251665440544897,-0.26358608941295,0.076,0.271,1,"mature Glutamatergic","Gpm6b","ENSMUST00000060210.13"
"Pkm-ENSMUST00000163694.3",5.8093252068902e-06,0.613181703444194,0.395,0.1,0.16338146211858,"radial glia","Pkm","ENSMUST00000163694.3"
"Pkm-ENSMUST00000034834.15",0.00198873290662544,-0.332772234748251,0.849,0.943,1,"mature Glutamatergic","Pkm","ENSMUST00000034834.15"
"Set-ENSMUST00000102866.9",0.002438963366261,-0.270387117865601,0.378,0.6,1,"mature Glutamatergic","Set","ENSMUST00000102866.9"
"Set-ENSMUST00000067996.6",0.00508891151930614,0.290265775354203,0.807,0.643,1,"radial glia","Set","ENSMUST00000067996.6"
"Clta-ENSMUST00000107849.9",6.95873215135809e-23,-0.964679298354378,0.378,0.829,1.95707383024795e-18,"mature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta-ENSMUST00000170241.7",1.07589394678694e-16,0.724232162534611,0.84,0.427,3.02584413594359e-12,"radial glia","Clta","ENSMUST00000170241.7"
"Pkm-ENSMUST00000163694.31",4.51588188055797e-22,-1.1307348715084,0.395,0.786,1.27004662008812e-17,"mature Glutamatergic","Pkm","ENSMUST00000163694.3"
"Pkm-ENSMUST00000034834.151",8.75320139089208e-17,0.796723942652288,0.849,0.513,2.46175035917449e-12,"radial glia","Pkm","ENSMUST00000034834.15"
"Evl-ENSMUST00000077735.12",8.36180579444527e-10,-0.734681302477308,0.185,0.483,2.35167426162979e-05,"mature Glutamatergic","Evl","ENSMUST00000077735.12"
"Evl-ENSMUST00000021689.13",0.00771992413435744,0.300369593874561,0.277,0.162,1,"radial glia","Evl","ENSMUST00000021689.13"
"Snrpa-ENSMUST00000122202.7",2.99558819049269e-06,0.269204530367486,0.378,0.141,0.0842479222694163,"radial glia","Snrpa","ENSMUST00000122202.7"
"Snrpa-ENSMUST00000163311.8",0.0638303445342008,-0.295745383792271,0.227,0.291,1,"mature Glutamatergic","Snrpa","ENSMUST00000163311.8"
"Dclk1-ENSMUST00000200348.1",0.000513280250332123,-0.454728522950391,0.252,0.406,1,"mature Glutamatergic","Dclk1","ENSMUST00000200348.1"
"Dclk1-ENSMUST00000167204.7",0.000802399987642448,0.260592649311297,0.303,0.15,1,"radial glia","Dclk1","ENSMUST00000167204.7"
