"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbpl1-ENSMUST00000044297.6",2.43790088798888e-74,0.950552529973995,1,0.84,6.85635245737992e-70,"0","Igfbpl1-ENSMUST00000044297.6"
"Sox11-ENSMUST00000079063.6",6.34712571280781e-71,0.810535720165778,1,0.95,1.78506563547007e-66,"0","Sox11-ENSMUST00000079063.6"
"Neurod2-ENSMUST00000041685.6",2.01529097579842e-65,1.08808893835487,0.897,0.359,5.66780434033548e-61,"0","Neurod2-ENSMUST00000041685.6"
"Tsc22d1-ENSMUST00000022587.9",1.26058292757467e-52,0.93423956651467,0.955,0.78,3.54526342551099e-48,"0","Tsc22d1-ENSMUST00000022587.9"
"Neurod6-ENSMUST00000044767.9",4.28019739453688e-45,0.733480770595812,0.967,0.4,1.20376271523955e-40,"0","Neurod6-ENSMUST00000044767.9"
"Itm2b-ENSMUST00000022704.8",4.1686304699217e-42,0.746378740451294,0.93,0.658,1.17238563336078e-37,"0","Itm2b-ENSMUST00000022704.8"
"Sstr2-ENSMUST00000146390.2",2.6517586849189e-39,0.809584478168572,0.417,0.078,7.45780612546591e-35,"0","Sstr2-ENSMUST00000146390.2"
"Pou3f2-ENSMUST00000178174.2",2.92601092813165e-38,0.935889260556848,0.798,0.463,8.22911313427745e-34,"0","Pou3f2-ENSMUST00000178174.2"
"Sox4-ENSMUST00000067230.5",8.00316306088897e-35,0.515859964645882,1,0.956,2.25080957924441e-30,"0","Sox4-ENSMUST00000067230.5"
"Pantr1-ENSMUST00000181725.7",8.57877861688284e-34,0.798601700205849,0.822,0.513,2.41269569821213e-29,"0","Pantr1-ENSMUST00000181725.7"
"Ppp2r2b-ENSMUST00000117687.7",2.51761073574963e-33,0.78271478602424,0.686,0.329,7.08052843322226e-29,"0","Ppp2r2b-ENSMUST00000117687.7"
"Cd24a-ENSMUST00000058714.9",2.14127962733992e-31,0.444156739665126,0.996,0.925,6.02213482393079e-27,"0","Cd24a-ENSMUST00000058714.9"
"Tagln3-ENSMUST00000096057.4",1.8829562519828e-30,0.536003091993893,0.963,0.793,5.29562616307643e-26,"0","Tagln3-ENSMUST00000096057.4"
"Zbtb18-ENSMUST00000077225.7",3.42242520694153e-28,0.65986616102952,0.698,0.341,9.62522865200236e-24,"0","Zbtb18-ENSMUST00000077225.7"
"H3f3b-ENSMUST00000016703.7",6.96562738569266e-27,0.317652338445338,1,0.997,1.9590130459522e-22,"0","H3f3b-ENSMUST00000016703.7"
"Ddah2-ENSMUST00000007255.12",7.62247381692823e-26,0.533336573925921,0.938,0.727,2.1437445362729e-21,"0","Ddah2-ENSMUST00000007255.12"
"Cttnbp2-ENSMUST00000139557.1",7.58286076265058e-25,0.66338837678285,0.579,0.265,2.13260376088785e-20,"0","Cttnbp2-ENSMUST00000139557.1"
"Lhx2-ENSMUST00000143783.8",1.24412532050176e-24,0.636232008892537,0.421,0.149,3.49897805137916e-20,"0","Lhx2-ENSMUST00000143783.8"
