"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aldoc-ENSMUST00000017534.14",1.35063051028088e-165,2.5613084677144,0.914,0.022,3.79851324711394e-161,"Radial glia","Aldoc-ENSMUST00000017534.14"
"Sparc-ENSMUST00000108858.7",2.21878860065239e-132,1.29230770347498,0.629,0.006,6.24012106047477e-128,"Radial glia","Sparc-ENSMUST00000108858.7"
"Sparc-ENSMUST00000018737.12",1.04893651417891e-129,1.27151221497858,0.629,0.007,2.95002905247677e-125,"Radial glia","Sparc-ENSMUST00000018737.12"
"Scrg1-ENSMUST00000034023.3",2.66870269758502e-126,1.49531450273614,0.729,0.018,7.50545946668811e-122,"Radial glia","Scrg1-ENSMUST00000034023.3"
"Rgcc-ENSMUST00000022595.7",2.52847765664239e-120,1.69411593692108,0.714,0.02,7.11109056154106e-116,"Radial glia","Rgcc-ENSMUST00000022595.7"
"Aldoc-ENSMUST00000102478.3",4.86764116986508e-119,1.07163225356952,0.586,0.007,1.36897540261286e-114,"Radial glia","Aldoc-ENSMUST00000102478.3"
"Mfge8-ENSMUST00000107409.4",5.3699968375141e-117,1.93600640886981,0.814,0.037,1.51025791058247e-112,"Radial glia","Mfge8-ENSMUST00000107409.4"
"Fgfbp3-ENSMUST00000057337.7",4.97681727768809e-113,1.32353029865328,0.5,0.002,1.399680091177e-108,"Radial glia","Fgfbp3-ENSMUST00000057337.7"
"Mt1-ENSMUST00000034215.7",4.07319068817667e-112,2.03084948496944,0.914,0.062,1.14554414914281e-107,"Radial glia","Mt1-ENSMUST00000034215.7"
"Gpm6b-ENSMUST00000112235.7",1.01541502339761e-108,1.51170997270402,0.671,0.021,2.85575321180343e-104,"Radial glia","Gpm6b-ENSMUST00000112235.7"
"Mlc1-ENSMUST00000042594.12",1.2542246585299e-108,0.953711946992415,0.543,0.007,3.5273814296495e-104,"Radial glia","Mlc1-ENSMUST00000042594.12"
"Apoe-ENSMUST00000173739.7",3.29462283418961e-103,1.8297547266627,0.614,0.016,9.26579725887487e-99,"Radial glia","Apoe-ENSMUST00000173739.7"
"Mt3-ENSMUST00000034211.9",1.37230374283116e-99,2.60588601757172,0.9,0.079,3.85946704633837e-95,"Radial glia","Mt3-ENSMUST00000034211.9"
"Hes5-ENSMUST00000049621.6",1.38289042489162e-99,1.89234433523823,0.714,0.032,3.88924103096519e-95,"Radial glia","Hes5-ENSMUST00000049621.6"
"Phgdh-ENSMUST00000065793.11",2.08807324064416e-99,2.46332577262843,0.943,0.091,5.87249718198764e-95,"Radial glia","Phgdh-ENSMUST00000065793.11"
"Ttyh1-ENSMUST00000119661.7",8.29026581508925e-96,0.657061876853704,0.443,0.003,2.3315543578357e-91,"Radial glia","Ttyh1-ENSMUST00000119661.7"
"Slc9a3r1-ENSMUST00000021077.3",1.5685504370178e-95,1.45226003000996,0.686,0.032,4.41139124906887e-91,"Radial glia","Slc9a3r1-ENSMUST00000021077.3"
"Pdpn-ENSMUST00000030317.13",1.21631937031201e-94,0.915346514380636,0.514,0.01,3.4207765970655e-90,"Radial glia","Pdpn-ENSMUST00000030317.13"
"Htra1-ENSMUST00000006367.7",1.1619332046847e-93,0.889634152164284,0.5,0.009,3.26782094485525e-89,"Radial glia","Htra1-ENSMUST00000006367.7"
"Gpx8-ENSMUST00000022282.5",1.03208289021068e-92,0.919736278583517,0.629,0.024,2.90262992042852e-88,"Radial glia","Gpx8-ENSMUST00000022282.5"
"Atp1a2-ENSMUST00000085913.10",1.30958844053965e-85,0.794382489502824,0.4,0.003,3.6830865301737e-81,"Radial glia","Atp1a2-ENSMUST00000085913.10"
"Dbi-ENSMUST00000112648.7",1.88813591955378e-85,2.41100470110937,0.971,0.135,5.31019346015304e-81,"Radial glia","Dbi-ENSMUST00000112648.7"
"Mfge8-ENSMUST00000032825.13",2.56859732321512e-85,0.973059984591102,0.5,0.012,7.22392311181021e-81,"Radial glia","Mfge8-ENSMUST00000032825.13"
"Wwtr1-ENSMUST00000029380.13",1.11457717462247e-84,0.810310529378924,0.471,0.01,3.13463684590824e-80,"Radial glia","Wwtr1-ENSMUST00000029380.13"
"Apoe-ENSMUST00000174064.8",4.47160999204088e-84,2.16239143949576,0.714,0.047,1.25759559416158e-79,"Radial glia","Apoe-ENSMUST00000174064.8"
"Rcn1-ENSMUST00000006128.6",1.50596710242385e-81,0.99743181058553,0.671,0.039,4.23538187885683e-77,"Radial glia","Rcn1-ENSMUST00000006128.6"
"Myl9-ENSMUST00000088552.6",8.10780068860154e-78,0.94895059060243,0.457,0.011,2.2802378656623e-73,"Radial glia","Myl9-ENSMUST00000088552.6"
"Plpp3-ENSMUST00000064139.7",2.07553645852273e-75,1.62503093333831,0.757,0.071,5.83723873594933e-71,"Radial glia","Plpp3-ENSMUST00000064139.7"
