"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ndrg1",1.64049453546006e-66,0.848421189005687,0.733,0.14,4.59305660038106e-62,"0","Ndrg1"
"Lrfn5",9.17713844509027e-61,0.74973242626154,0.667,0.111,2.56941522185637e-56,"0","Lrfn5"
"Sla",2.86060161301685e-59,0.641281143732223,0.553,0.069,8.00911239612458e-55,"0","Sla"
"Satb2",2.32551873552121e-58,0.781625881254188,0.753,0.157,6.51098735571229e-54,"0","Satb2"
"Dync1i1",1.30272969075512e-57,0.78773661090728,0.727,0.158,3.6473825881762e-53,"0","Dync1i1"
"Dok5",5.34567460018471e-55,0.900210804542203,0.827,0.263,1.49668197455972e-50,"0","Dok5"
"Itpr1",6.65941491503324e-55,0.58320600989245,0.64,0.115,1.86450298791101e-50,"0","Itpr1"
"Ntm",1.97997580066741e-51,0.949665933675338,0.913,0.325,5.54353624670861e-47,"0","Ntm"
"Mef2c",2.06583860620514e-47,1.15078306534598,0.96,0.498,5.78393492965315e-43,"0","Mef2c"
"Tmsb4x",5.81417646080934e-47,0.6323067078446,1,1,1.6278531254974e-42,"0","Tmsb4x"
"Dab1",1.07668653285667e-46,0.833016980415031,0.853,0.306,3.01450695469209e-42,"0","Dab1"
"Tenm3",2.49940925386499e-44,0.621904961442161,0.587,0.116,6.99784602897119e-40,"0","Tenm3"
"Mif",1.23071895491645e-41,0.620669103256481,0.993,0.961,3.44576692997508e-37,"0","Mif"
"Arpp21",1.75822852757757e-40,0.607092448430047,0.727,0.209,4.92268823151167e-36,"0","Arpp21"
"Neurod6",5.19298439170797e-40,0.922010239438678,1,0.539,1.4539317699904e-35,"0","Neurod6"
"Ldb2",2.54047051708143e-38,0.532739129334836,0.513,0.104,7.11280935372457e-34,"0","Ldb2"
"Nefl",4.27502428690804e-38,0.750461557160079,0.467,0.088,1.19692129984851e-33,"0","Nefl"
"Ptprd",8.74426499711043e-37,0.778228288263407,0.887,0.438,2.44821931389098e-32,"0","Ptprd"
"Camk2b",1.16662112248139e-36,0.626482397490423,0.72,0.228,3.26630581872341e-32,"0","Camk2b"
"Nefm",2.51625881504223e-33,0.719590749406768,0.673,0.227,7.04502143035525e-29,"0","Nefm"
