"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbpl1-ENSMUST00000044297.6",1.26859275125881e-73,0.945494129910605,1,0.84,3.56779025364028e-69,"0","Igfbpl1-ENSMUST00000044297.6"
"Sox11-ENSMUST00000079063.6",1.10495990433541e-70,0.81071871282946,1,0.95,3.10758923495289e-66,"0","Sox11-ENSMUST00000079063.6"
"Neurod2-ENSMUST00000041685.6",8.55279709987866e-65,1.08379148084256,0.896,0.36,2.40538865636987e-60,"0","Neurod2-ENSMUST00000041685.6"
"Tsc22d1-ENSMUST00000022587.9",2.72069174950336e-52,0.933724216660445,0.954,0.781,7.65167347630325e-48,"0","Tsc22d1-ENSMUST00000022587.9"
"Neurod6-ENSMUST00000044767.9",4.04137891307703e-45,0.735652186032177,0.967,0.401,1.13659740551378e-40,"0","Neurod6-ENSMUST00000044767.9"
"Itm2b-ENSMUST00000022704.8",1.68279005987024e-41,0.737007223320308,0.929,0.658,4.73267876437907e-37,"0","Itm2b-ENSMUST00000022704.8"
"Sstr2-ENSMUST00000146390.2",2.63846700342557e-38,0.7924060691232,0.415,0.08,7.42042460043407e-34,"0","Sstr2-ENSMUST00000146390.2"
"Pou3f2-ENSMUST00000178174.2",7.06429905760357e-38,0.934106220674051,0.797,0.464,1.98676346696043e-33,"0","Pou3f2-ENSMUST00000178174.2"
"Sox4-ENSMUST00000067230.5",2.36385716837781e-34,0.512538671140968,1,0.956,6.64811190034576e-30,"0","Sox4-ENSMUST00000067230.5"
"Pantr1-ENSMUST00000181725.7",2.00459384267589e-33,0.796549117965335,0.822,0.514,5.63771972314167e-29,"0","Pantr1-ENSMUST00000181725.7"
"Ppp2r2b-ENSMUST00000117687.7",4.81508512077245e-33,0.782406899585551,0.685,0.33,1.35419453936604e-28,"0","Ppp2r2b-ENSMUST00000117687.7"
"Cd24a-ENSMUST00000058714.9",7.74019954537851e-32,0.447198375341743,0.996,0.925,2.17685372014225e-27,"0","Cd24a-ENSMUST00000058714.9"
"Tagln3-ENSMUST00000096057.4",2.27303729092792e-30,0.536517787898922,0.963,0.793,6.39269007700568e-26,"0","Tagln3-ENSMUST00000096057.4"
"Zbtb18-ENSMUST00000077225.7",6.16213370777663e-28,0.65981898903476,0.697,0.342,1.7330384839751e-23,"0","Zbtb18-ENSMUST00000077225.7"
"H3f3b-ENSMUST00000016703.7",1.34747325107724e-26,0.316498217480631,1,0.997,3.78963377132963e-22,"0","H3f3b-ENSMUST00000016703.7"
"Ddah2-ENSMUST00000007255.12",4.03336318839605e-26,0.536410729564161,0.938,0.727,1.13434306310451e-21,"0","Ddah2-ENSMUST00000007255.12"
"Cttnbp2-ENSMUST00000139557.1",1.84689231228525e-24,0.661554806250644,0.577,0.266,5.19419993907103e-20,"0","Cttnbp2-ENSMUST00000139557.1"
"Lhx2-ENSMUST00000143783.8",4.99690649885561e-24,0.631534166089095,0.419,0.15,1.40532998373815e-19,"0","Lhx2-ENSMUST00000143783.8"
"Id2-ENSMUST00000020974.6",3.69569953011236e-23,0.437132527946165,0.876,0.515,1.0393785358488e-18,"0","Id2-ENSMUST00000020974.6"
"Bhlhe22-ENSMUST00000026120.7",1.22800940016055e-21,0.567132165064187,0.56,0.245,3.45365363701154e-17,"0","Bhlhe22-ENSMUST00000026120.7"
"Emx1-ENSMUST00000045942.8",1.51698153555082e-21,0.627075915829688,0.498,0.222,4.26635887058312e-17,"0","Emx1-ENSMUST00000045942.8"
"Lrpap1-ENSMUST00000030986.14",1.72420793096359e-20,0.706191987070157,0.544,0.276,4.84916238504199e-16,"0","Lrpap1-ENSMUST00000030986.14"
"Hspa8-ENSMUST00000015800.15",1.42925462191703e-19,0.274873903231259,0.996,0.982,4.01963569867944e-15,"0","Hspa8-ENSMUST00000015800.15"
"Nrp1-ENSMUST00000026917.9",7.06314044343272e-19,0.475084993249633,0.311,0.094,1.98643761831102e-14,"0","Nrp1-ENSMUST00000026917.9"
"Epha5-ENSMUST00000200076.1",7.99740207272929e-18,0.476884400301133,0.784,0.531,2.24918935893439e-13,"0","Epha5-ENSMUST00000200076.1"
"Lhx2-ENSMUST00000000253.5",1.14115454354162e-17,0.5086628415645,0.436,0.189,3.20938303825645e-13,"0","Lhx2-ENSMUST00000000253.5"
"Eef2-ENSMUST00000047864.10",3.522492390175e-17,0.307194520989947,0.988,0.901,9.90665759812818e-13,"0","Eef2-ENSMUST00000047864.10"
