"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","geneId","transcriptId","ISO.only","min.pval.adj","min.pval.adj.genes"
"Aldoc-ENSMUST00000017534.14",3.00231568026998e-167,2.48694321095293,0.929,0.023,9.60320693491157e-163,"radial glia","Aldoc-ENSMUST00000017534.14","Aldoc","ENSMUST00000017534.14","no",9.60320693491157e-163,"2.6441500788536e-97"
"Sparc-ENSMUST00000018737.12",1.50429237477359e-153,1.54887224043065,0.757,0.01,4.8116295899508e-149,"radial glia","Sparc-ENSMUST00000018737.12","Sparc","ENSMUST00000018737.12","no",4.8116295899508e-149,"1.72140336982885e-127"
"Scrg1-ENSMUST00000034023.3",3.32923032531528e-129,1.4254873355272,0.757,0.02,1.06488761185535e-124,"radial glia","Scrg1-ENSMUST00000034023.3","Scrg1","ENSMUST00000034023.3","no",1.06488761185535e-124,"1.10091911528708e-102"
"Vcam1-ENSMUST00000029574.12",3.86344298759496e-125,0.834639991294977,0.6,0.006,1.23576087401212e-120,"radial glia","Vcam1-ENSMUST00000029574.12","Vcam1","ENSMUST00000029574.12","no",1.23576087401212e-120,"1.40050255204191e-101"
"Rgcc-ENSMUST00000022595.7",1.5724244639417e-120,1.59670031241867,0.743,0.024,5.02955689036392e-116,"radial glia","Rgcc-ENSMUST00000022595.7","Rgcc","ENSMUST00000022595.7","no",5.02955689036392e-116,"1.00212813946475e-104"
"Gpm6b-ENSMUST00000112235.7",2.37333670142242e-120,1.453177453321,0.714,0.02,7.59135477316977e-116,"radial glia","Gpm6b-ENSMUST00000112235.7","Gpm6b","ENSMUST00000112235.7","no",7.59135477316977e-116,"4.51095997775166e-12"
"Mlc1-ENSMUST00000042594.12",9.63769123153064e-116,1.02763121600997,0.614,0.01,3.08271191731739e-111,"radial glia","Mlc1-ENSMUST00000042594.12","Mlc1","ENSMUST00000042594.12","no",3.08271191731739e-111,"6.00903375320741e-101"
"Mfge8-ENSMUST00000107409.4",1.51114920904697e-113,1.85110369907984,0.814,0.04,4.83356186005765e-109,"radial glia","Mfge8-ENSMUST00000107409.4","Mfge8","ENSMUST00000107409.4","no",4.83356186005765e-109,"4.80408962971458e-86"
"Atp1a2-ENSMUST00000085913.10",3.21752031627572e-111,1.08795946081806,0.543,0.006,1.02915604836395e-106,"radial glia","Atp1a2-ENSMUST00000085913.10","Atp1a2","ENSMUST00000085913.10","no",1.02915604836395e-106,"2.09421387640779e-135"
"Ttyh1-ENSMUST00000119661.7",1.46091174160174e-109,0.650367275354281,0.5,0.003,4.67287229668734e-105,"radial glia","Ttyh1-ENSMUST00000119661.7","Ttyh1","ENSMUST00000119661.7","no",4.67287229668734e-105,"2.06728761355008e-78"
"Slc9a3r1-ENSMUST00000021077.3",7.04114640107681e-109,1.40917622754495,0.771,0.036,2.25218108784843e-104,"radial glia","Slc9a3r1-ENSMUST00000021077.3","Slc9a3r1","ENSMUST00000021077.3","no",2.25218108784843e-104,"4.25902206632698e-83"
"Mt1-ENSMUST00000034215.7",5.25021962647915e-107,2.05370990029743,0.943,0.075,1.67933524972562e-102,"radial glia","Mt1-ENSMUST00000034215.7","Mt1","ENSMUST00000034215.7","no",1.67933524972562e-102,"3.99301328021264e-72"
"Fgfbp3-ENSMUST00000057337.7",6.15159773241402e-107,1.27265421903039,0.5,0.004,1.96765005068995e-102,"radial glia","Fgfbp3-ENSMUST00000057337.7","Fgfbp3","ENSMUST00000057337.7","no",1.96765005068995e-102,"1.97703929800089e-36"
"Dbi-ENSMUST00000112648.7",3.31938727863123e-104,1.47929694342628,0.829,0.049,1.06173921494298e-99,"radial glia","Dbi-ENSMUST00000112648.7","Dbi","ENSMUST00000112648.7","no",1.06173921494298e-99,"4.85418834917166e-39"
"Mt3-ENSMUST00000034211.9",5.87512223322189e-104,2.7651532026361,0.943,0.085,1.87921659751835e-99,"radial glia","Mt3-ENSMUST00000034211.9","Mt3","ENSMUST00000034211.9","no",1.87921659751835e-99,"3.67425694353866e-47"
"Mfge8-ENSMUST00000032825.13",1.42550467841438e-101,1.00385820044064,0.571,0.012,4.55961926437623e-97,"radial glia","Mfge8-ENSMUST00000032825.13","Mfge8","ENSMUST00000032825.13","no",4.83356186005765e-109,"4.80408962971458e-86"
"Pdpn-ENSMUST00000030317.13",7.9600096271831e-100,0.903937191988525,0.571,0.013,2.54608867935079e-95,"radial glia","Pdpn-ENSMUST00000030317.13","Pdpn","ENSMUST00000030317.13","no",2.54608867935079e-95,"1.63206155875051e-100"
"Hes5-ENSMUST00000049621.6",3.91666182804051e-98,1.89301782883434,0.743,0.039,1.25278345231704e-93,"radial glia","Hes5-ENSMUST00000049621.6","Hes5","ENSMUST00000049621.6","no",1.25278345231704e-93,"6.20908516702467e-64"
"Phgdh-ENSMUST00000065793.11",6.75446474234203e-98,2.43877180988589,0.943,0.096,2.16048309248552e-93,"radial glia","Phgdh-ENSMUST00000065793.11","Phgdh","ENSMUST00000065793.11","no",2.16048309248552e-93,"3.81758025281289e-76"
"Aldoc-ENSMUST00000102478.3",7.87486838759947e-98,0.727342784930006,0.486,0.006,2.51885540245757e-93,"radial glia","Aldoc-ENSMUST00000102478.3","Aldoc","ENSMUST00000102478.3","no",9.60320693491157e-163,"2.6441500788536e-97"
"Gpx8-ENSMUST00000022282.5",1.80915464230343e-96,0.913277365878665,0.657,0.026,5.78676203887174e-92,"radial glia","Gpx8-ENSMUST00000022282.5","Gpx8","ENSMUST00000022282.5","no",5.78676203887174e-92,"6.09293375509433e-80"
"Htra1-ENSMUST00000006367.7",2.34545602806888e-89,0.844159758289,0.5,0.01,7.50217565138113e-85,"radial glia","Htra1-ENSMUST00000006367.7","Htra1","ENSMUST00000006367.7","no",7.50217565138113e-85,"5.40438729095348e-80"
"Wwtr1-ENSMUST00000029380.13",4.56653238312925e-88,0.742829622467201,0.486,0.01,1.46065104806772e-83,"radial glia","Wwtr1-ENSMUST00000029380.13","Wwtr1","ENSMUST00000029380.13","no",1.46065104806772e-83,"2.58633822134806e-81"
"Trip6-ENSMUST00000024119.10",6.26621679607638e-88,0.673477304017499,0.514,0.012,2.00431210439299e-83,"radial glia","Trip6-ENSMUST00000024119.10","Trip6","ENSMUST00000024119.10","no",2.00431210439299e-83,"2.25332349348164e-76"
"Anxa2-ENSMUST00000034756.14",3.97356882546997e-84,0.840977205077829,0.429,0.006,1.27098572451482e-79,"radial glia","Anxa2-ENSMUST00000034756.14","Anxa2","ENSMUST00000034756.14","no",1.27098572451482e-79,"8.86127956441745e-71"
"Apoe-ENSMUST00000174064.8",1.63772025769954e-82,2.06019626164454,0.743,0.054,5.23841201627776e-78,"radial glia","Apoe-ENSMUST00000174064.8","Apoe","ENSMUST00000174064.8","no",5.23841201627776e-78,"6.04539510500715e-42"
