"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","transcriptId"
"Gpm6b-ENSMUST00000112235.7",2.81762535300936e-22,-1.37809679593664,0.05,0.714,9.01245645413572e-18,"radial glia","cycling radial glia vs radial glia","Gpm6b","ENSMUST00000112235.7"
"Gpm6b-ENSMUST00000112224.7",5.70731058853796e-11,-0.662392291343625,0.059,0.443,1.82554036484975e-06,"radial glia","cycling radial glia vs radial glia","Gpm6b","ENSMUST00000112224.7"
"Gpm6b-ENSMUST00000112233.7",4.881608016254e-07,-0.313514033714287,0.025,0.271,0.01561431140079,"radial glia","cycling radial glia vs radial glia","Gpm6b","ENSMUST00000112233.7"
"Gpm6b-ENSMUST00000060210.13",6.09968712598174e-06,-0.358178840754275,0.092,0.357,0.195104592411652,"radial glia","cycling radial glia vs radial glia","Gpm6b","ENSMUST00000060210.13"
"Gpm6b-ENSMUST00000112228.7",0.000415092997011237,0.406734303381298,0.277,0.071,1,"cycling radial glia","cycling radial glia vs radial glia","Gpm6b","ENSMUST00000112228.7"
"Chchd3-ENSMUST00000066379.10",1.00125569242596e-08,-0.471595921451509,0.252,0.671,0.000320261645779367,"radial glia","cycling radial glia vs radial glia","Chchd3","ENSMUST00000066379.10"
"Chchd3-ENSMUST00000127666.7",8.28147209818843e-08,0.668199768765415,0.429,0.071,0.00264891166532655,"cycling radial glia","cycling radial glia vs radial glia","Chchd3","ENSMUST00000127666.7"
"Bnip2-ENSMUST00000034754.11",1.68342618295859e-06,-0.364679654663143,0.084,0.371,0.0538460698881135,"radial glia","cycling radial glia vs radial glia","Bnip2","ENSMUST00000034754.11"
"Bnip2-ENSMUST00000085393.12",0.00146980887992762,0.331392157342454,0.244,0.071,1,"cycling radial glia","cycling radial glia vs radial glia","Bnip2","ENSMUST00000085393.12"
"Ergic3-ENSMUST00000006035.12",2.97595914157312e-06,-0.521421913701039,0.378,0.7,0.0951890291023578,"radial glia","cycling radial glia vs radial glia","Ergic3","ENSMUST00000006035.12"
"Ergic3-ENSMUST00000088650.10",0.00547602999888683,0.358339387882513,0.235,0.086,1,"cycling radial glia","cycling radial glia vs radial glia","Ergic3","ENSMUST00000088650.10"
"Pkm-ENSMUST00000163694.3",1.49446542207988e-05,0.589939633574597,0.437,0.157,0.478019709906472,"cycling radial glia","cycling radial glia vs radial glia","Pkm","ENSMUST00000163694.3"
"Pkm-ENSMUST00000034834.15",0.000522140765525368,-0.339389163229263,0.891,0.957,1,"radial glia","cycling radial glia vs radial glia","Pkm","ENSMUST00000034834.15"
"Eef1d-ENSMUST00000154584.8",6.54079470020646e-05,-0.343902547045847,0.714,0.9,1,"radial glia","cycling radial glia vs radial glia","Eef1d","ENSMUST00000154584.8"
"Eef1d-ENSMUST00000089681.11",0.00294908500286135,0.257555658961273,0.193,0.043,1,"cycling radial glia","cycling radial glia vs radial glia","Eef1d","ENSMUST00000089681.11"
"Pkm-ENSMUST00000163694.31",6.6014393567545e-27,-1.18279396579258,0.437,0.846,2.11153639265149e-22,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Pkm","ENSMUST00000163694.3"
"Pkm-ENSMUST00000034834.151",2.5151988960484e-19,0.843059399944911,0.891,0.59,8.04511518890042e-15,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Pkm","ENSMUST00000034834.15"
"Clta-ENSMUST00000107849.9",4.10324117034431e-24,-0.961341390221532,0.395,0.838,1.31246272074633e-19,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta-ENSMUST00000170241.7",1.7373540574547e-15,0.649411842308628,0.832,0.453,5.55710068817460e-11,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Clta","ENSMUST00000170241.7"
"Akap9-ENSMUST00000044492.9",4.10677611500594e-23,-1.09664047061849,0.496,0.838,1.3135934081458e-18,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Akap9","ENSMUST00000044492.9"
"Akap9-ENSMUST00000143365.7",3.14274769954087e-08,0.418353314934055,0.345,0.094,0.00100523927917514,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Akap9","ENSMUST00000143365.7"
"Zfand6-ENSMUST00000209117.1",1.14321721143621e-16,0.483128905614517,0.311,0.013,3.65669457249987e-12,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Zfand6","ENSMUST00000209117.1"
"Zfand6-ENSMUST00000178385.8",0.00034915236439513,-0.358678349851585,0.336,0.479,1,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Zfand6","ENSMUST00000178385.8"
"Ergic3-ENSMUST00000006035.121",5.58931197036394e-16,0.505520723659519,0.378,0.043,1.78779732684061e-11,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Ergic3","ENSMUST00000006035.12"
"Ergic3-ENSMUST00000088650.101",1.77808336972587e-14,-0.76221356627123,0.235,0.637,5.68737746640517e-10,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Ergic3","ENSMUST00000088650.10"
"Dpysl3-ENSMUST00000025379.13",9.01936885108148e-16,-0.697940734844177,0.723,0.902,2.88493532070692e-11,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Dpysl3","ENSMUST00000025379.13"
"Dpysl3-ENSMUST00000121805.7",1.47936911873762e-08,0.355880203373284,0.16,0.009,0.000473191006319414,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Dpysl3","ENSMUST00000121805.7"
"Elavl2-ENSMUST00000107110.7",5.51831911941152e-10,0.252432414586822,0.185,0.009,1.76508955353497e-05,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Elavl2","ENSMUST00000107110.7"
"Elavl2-ENSMUST00000107124.9",1.04123149834698e-07,-0.497488805021089,0.109,0.363,0.00333048307061265,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Elavl2","ENSMUST00000107124.9"
"Evl-ENSMUST00000077735.12",4.3111814154671e-09,-0.669716711919229,0.218,0.496,0.000137897448755131,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Evl","ENSMUST00000077735.12"
"Evl-ENSMUST00000021689.13",0.0051419102212562,0.276502618185931,0.319,0.188,1,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Evl","ENSMUST00000021689.13"
"Meg3-ENSMUST00000143836.7",5.46922434217996e-07,0.465021024038472,0.462,0.205,0.0174938609808968,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Meg3","ENSMUST00000143836.7"
"Meg3-ENSMUST00000129245.7",0.322938768623396,-0.27280903945027,0.311,0.235,1,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Meg3","ENSMUST00000129245.7"
"Meis2-ENSMUST00000102538.10",0.000216400516232151,0.253859903224141,0.227,0.085,1,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Meis2","ENSMUST00000102538.10"
"Meis2-ENSMUST00000110907.7",0.00717924382525113,-0.288101603665176,0.143,0.256,1,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Meis2","ENSMUST00000110907.7"
"Pkm-ENSMUST00000034834.152",1.09569285327901e-38,1.46493019799009,0.891,0.417,3.50468316049825e-34,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Pkm","ENSMUST00000034834.15"
"Pkm-ENSMUST00000163694.32",9.16643785165935e-34,-1.20349736553204,0.437,0.899,2.93197681123176e-29,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Pkm","ENSMUST00000163694.3"
"Clta-ENSMUST00000107849.91",3.25664123851199e-32,-1.11015616792285,0.395,0.874,1.04166926655044e-27,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta-ENSMUST00000170241.71",2.64611573492002e-22,0.832172140422603,0.832,0.478,8.46386578971518e-18,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Clta","ENSMUST00000170241.7"
"Dpysl3-ENSMUST00000025379.131",8.92647207116309e-24,-0.975748123760842,0.723,0.935,2.85522135668222e-19,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Dpysl3","ENSMUST00000025379.13"
"Dpysl3-ENSMUST00000121805.71",2.33584020632933e-09,0.363199484698482,0.16,0.011,7.47141848396499e-05,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Dpysl3","ENSMUST00000121805.7"
"Akap9-ENSMUST00000143365.71",8.58839365297005e-21,0.621056297144262,0.345,0.018,2.747083593839e-16,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Akap9","ENSMUST00000143365.7"
"Akap9-ENSMUST00000044492.91",6.14917434221347e-12,-0.710471983218841,0.496,0.784,1.9668749051004e-07,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Akap9","ENSMUST00000044492.9"
"Ergic3-ENSMUST00000088650.102",6.61347983761754e-19,-0.738732209068732,0.235,0.727,2.11538766086035e-14,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Ergic3","ENSMUST00000088650.10"
"Ergic3-ENSMUST00000006035.122",5.66563119149501e-14,0.493392213719478,0.378,0.083,1.81220879291159e-09,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Ergic3","ENSMUST00000006035.12"
"Myl6-ENSMUST00000164181.1",1.02354628718132e-14,-0.592541884145071,0.706,0.888,3.27391515417816e-10,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Myl6","ENSMUST00000164181.1"
"Myl6-ENSMUST00000218127.1",9.99049284222002e-06,0.37320742386747,0.58,0.374,0.31955590405125,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Myl6","ENSMUST00000218127.1"
"Ewsr1-ENSMUST00000079949.12",1.08935589426691e-14,0.647866699635871,0.798,0.522,3.48441376340213e-10,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Ewsr1","ENSMUST00000079949.12"
"Ewsr1-ENSMUST00000102930.9",4.36060021503197e-06,-0.293411914060907,0.092,0.313,0.139478158478013,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Ewsr1","ENSMUST00000102930.9"
"Vps29-ENSMUST00000155671.7",1.9194469306347e-10,-0.528290478253619,0.395,0.683,6.13954295232816e-06,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Vps29","ENSMUST00000155671.7"
"Vps29-ENSMUST00000118830.7",5.45520837154198e-06,0.291793967211668,0.403,0.198,0.174490294972142,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Vps29","ENSMUST00000118830.7"
"Anapc5-ENSMUST00000086216.8",0.00339003524404411,0.287787768643314,0.706,0.626,1,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Anapc5","ENSMUST00000086216.8"
"Anapc5-ENSMUST00000200058.4",0.0350429482380464,-0.283473891288745,0.168,0.266,1,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Anapc5","ENSMUST00000200058.4"
"Sh3glb1-ENSMUST00000163279.5",6.36391603322265e-10,0.482572983967867,0.361,0.049,2.0355621823866e-05,"cycling radial glia","cycling radial glia vs imature GABAergic","Sh3glb1","ENSMUST00000163279.5"
