"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp1a2",7.47986954928134e-140,1.4949000469795,0.843,0.026,2.09421387640779e-135,"radial glia","Atp1a2"
"Ccdc80",8.95764735248749e-134,0.925024226546989,0.757,0.018,2.50796210574945e-129,"radial glia","Ccdc80"
"Sparc",6.14830834284181e-132,1.68567640165044,0.871,0.036,1.72140336982885e-127,"radial glia","Sparc"
"Veph1",1.85037647620382e-120,0.825658480232033,0.657,0.013,5.18068405807547e-116,"radial glia","Veph1"
"Rgcc",3.57928473271245e-109,1.2448708414739,0.771,0.036,1.00212813946483e-104,"radial glia","Rgcc"
"Scrg1",3.93213484994346e-107,1.0821360385039,0.771,0.036,1.10091911528717e-102,"radial glia","Scrg1"
"Vcam1",5.00215212530189e-106,0.743430589464031,0.657,0.02,1.40050255204202e-101,"radial glia","Vcam1"
"Tnc",1.35120267205521e-105,0.819583694679501,0.643,0.019,3.78309724122016e-101,"radial glia","Tnc"
"Mlc1",2.14623678591576e-105,1.0437211139681,0.729,0.03,6.00903375320694e-101,"radial glia","Mlc1"
"Pdpn",5.82920765322707e-105,0.84652705701998,0.7,0.028,1.63206155875051e-100,"radial glia","Pdpn"
"1500015O10Rik",2.50215957418387e-102,1.28289864792062,0.671,0.026,7.0055463758e-98,"radial glia","1500015O10Rik"
"Aldoc",9.44406771502821e-102,2.20201989370837,0.943,0.088,2.6441500788536e-97,"radial glia","Aldoc"
"Zfp36l1",4.07626380824726e-98,0.959918401238502,0.814,0.052,1.14127234103307e-93,"radial glia","Zfp36l1"
"Hes1",1.03353706334634e-92,0.902157908246349,0.7,0.035,2.89369706995709e-88,"radial glia","Hes1"
"Plce1",4.53925207424911e-92,0.488959604026514,0.543,0.013,1.27089979574827e-87,"radial glia","Plce1"
"Mfge8",1.71586885838795e-90,1.88218661803071,0.929,0.103,4.80408962971458e-86,"radial glia","Mfge8"
"Slc9a3r1",1.52118796568576e-87,1.1326963900724,0.771,0.057,4.25902206632698e-83,"radial glia","Slc9a3r1"
"Wwtr1",9.23758204638858e-86,0.579085316697832,0.543,0.017,2.58633822134788e-81,"radial glia","Wwtr1"
"Htra1",1.93027619506888e-84,0.65399195002866,0.543,0.018,5.40438729095386e-80,"radial glia","Htra1"
"Gpx8",2.17620321276317e-84,0.703366585451069,0.7,0.042,6.09293375509433e-80,"radial glia","Gpx8"
"Pon2",4.18466899789185e-84,0.762962881469861,0.686,0.04,1.17162362602976e-79,"radial glia","Pon2"
"Ttyh1",7.38369745535425e-83,1.16786866472545,0.857,0.088,2.06728761355008e-78,"radial glia","Ttyh1"
"Slc14a2",1.65941203609851e-82,0.520092786614273,0.443,0.008,4.6460218186686e-78,"radial glia","Slc14a2"
