"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aldoc..ENSMUST00000017534.14",6.75447285625948e-171,2.58741399302503,0.929,0.021,2.23208310007951e-166,"radial glia","Aldoc..ENSMUST00000017534.14"
"Sparc..ENSMUST00000018737.12",5.69966629526201e-150,1.63971323339389,0.743,0.01,1.88351172393228e-145,"radial glia","Sparc..ENSMUST00000018737.12"
"Scrg1..ENSMUST00000034023.3",3.29503184001367e-127,1.47259513880616,0.757,0.021,1.08887622185092e-122,"radial glia","Scrg1..ENSMUST00000034023.3"
"Rgcc..ENSMUST00000022595.7",1.61222334012541e-123,1.6651922647706,0.729,0.02,5.32775324977842e-119,"radial glia","Rgcc..ENSMUST00000022595.7"
"Gpm6b..ENSMUST00000112235.7",4.05300976760392e-122,1.59473103063151,0.714,0.019,1.33935760780239e-117,"radial glia","Gpm6b..ENSMUST00000112235.7"
"Mfge8..ENSMUST00000107409.4",6.216792623499e-114,1.9326029925038,0.8,0.037,2.05440129036148e-109,"radial glia","Mfge8..ENSMUST00000107409.4"
"Mlc1..ENSMUST00000042594.12",8.14795832134741e-113,1.03733746325154,0.571,0.008,2.69257430687246e-108,"radial glia","Mlc1..ENSMUST00000042594.12"
"Fgfbp3..ENSMUST00000057337.7",5.50182130595909e-110,1.35067672678925,0.5,0.003,1.81813186876724e-105,"radial glia","Fgfbp3..ENSMUST00000057337.7"
"AC159092.1..ENSMUST00000027217.8",5.5174207894142e-110,1.74873658568959,0.643,0.017,1.82328687406982e-105,"radial glia","AC159092.1..ENSMUST00000027217.8"
"Mt1..ENSMUST00000034215.7",2.17416135366243e-107,2.12592788127506,0.943,0.074,7.18473360931285e-103,"radial glia","Mt1..ENSMUST00000034215.7"
"Mt3..ENSMUST00000034211.9",1.61563779941341e-104,2.82939046353908,0.943,0.084,5.33903667194156e-100,"radial glia","Mt3..ENSMUST00000034211.9"
"Ttyh1..ENSMUST00000119661.7",1.2511290231647e-102,0.685266725568498,0.471,0.003,4.13448096995006e-98,"radial glia","Ttyh1..ENSMUST00000119661.7"
"Phgdh..ENSMUST00000065793.11",2.09095391315176e-100,2.45071548162026,0.943,0.09,6.90976630140131e-96,"radial glia","Phgdh..ENSMUST00000065793.11"
"Pdpn..ENSMUST00000030317.13",3.92599811199889e-99,0.88231051218865,0.543,0.01,1.29738533609115e-94,"radial glia","Pdpn..ENSMUST00000030317.13"
"Slc9a3r1..ENSMUST00000021077.3",1.1107470307476e-98,1.4369068966722,0.7,0.032,3.67057463780853e-94,"radial glia","Slc9a3r1..ENSMUST00000021077.3"
"Hes5..ENSMUST00000049621.6",3.84010202061421e-96,1.86849512930106,0.686,0.03,1.26900011373217e-91,"radial glia","Hes5..ENSMUST00000049621.6"
"Gpx8..ENSMUST00000022282.5",5.79569971482477e-96,0.932969385775084,0.643,0.024,1.91524692776099e-91,"radial glia","Gpx8..ENSMUST00000022282.5"
"Atp1a2..ENSMUST00000085913.10",1.30530749394204e-95,0.810301698779626,0.443,0.003,4.31351914448088e-91,"radial glia","Atp1a2..ENSMUST00000085913.10"
"Aldoc..ENSMUST00000102478.3",4.66457253703836e-95,0.872121208063054,0.486,0.007,1.5414546405897e-90,"radial glia","Aldoc..ENSMUST00000102478.3"
"Mfge8..ENSMUST00000032825.13",9.93400094592583e-94,0.99987292843223,0.529,0.011,3.28278995259065e-89,"radial glia","Mfge8..ENSMUST00000032825.13"
"Dbi..ENSMUST00000112648.7",1.08460734341078e-92,1.79705376735669,0.857,0.069,3.58419342703527e-88,"radial glia","Dbi..ENSMUST00000112648.7"
"Sparc..ENSMUST00000108858.7",3.82875318496059e-92,0.685121214072758,0.414,0.002,1.26524977750208e-87,"radial glia","Sparc..ENSMUST00000108858.7"
"Htra1..ENSMUST00000006367.7",2.6533162834762e-91,0.900332670775948,0.5,0.01,8.76814899037544e-87,"radial glia","Htra1..ENSMUST00000006367.7"
"Wwtr1..ENSMUST00000029380.13",5.1128166789704e-88,0.795095210533899,0.486,0.01,1.68958139973256e-83,"radial glia","Wwtr1..ENSMUST00000029380.13"
"Anxa2..ENSMUST00000034756.14",5.06744393369268e-84,0.853919119577171,0.429,0.006,1.67458752232808e-79,"radial glia","Anxa2..ENSMUST00000034756.14"
"Rcn1..ENSMUST00000006128.6",4.56079304223137e-83,1.00568820935433,0.686,0.04,1.50715966873578e-78,"radial glia","Rcn1..ENSMUST00000006128.6"
"Apoe..ENSMUST00000174064.8",2.36767271321896e-82,2.3607659162989,0.757,0.059,7.82421124810338e-78,"radial glia","Apoe..ENSMUST00000174064.8"
"Chchd3..ENSMUST00000066379.10",4.31517885963894e-82,0.925608035554913,0.671,0.038,1.42599400595628e-77,"radial glia","Chchd3..ENSMUST00000066379.10"
"Myl9..ENSMUST00000088552.6",5.06235951970752e-81,1.00242077846389,0.471,0.011,1.67290732688255e-76,"radial glia","Myl9..ENSMUST00000088552.6"
"Plpp3..ENSMUST00000064139.7",1.48049275157201e-76,1.60927853945285,0.771,0.073,4.89243634684488e-72,"radial glia","Plpp3..ENSMUST00000064139.7"
"Trip6..ENSMUST00000024119.10",1.4143357145046e-74,0.615104971399726,0.429,0.01,4.6738138021519e-70,"radial glia","Trip6..ENSMUST00000024119.10"
"Prkcdbp..ENSMUST00000047040.3",5.64589308308653e-74,0.994158463985604,0.643,0.042,1.86574182823678e-69,"radial glia","Prkcdbp..ENSMUST00000047040.3"
"Serpinh1..ENSMUST00000094154.5",6.47902052276084e-71,1.26400665473078,0.771,0.075,2.14105712195155e-66,"radial glia","Serpinh1..ENSMUST00000094154.5"
