"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","transcriptId"
"Gpm6b..ENSMUST00000112235.7",3.4435324648811e-22,1.55956528429466,0.714,0.05,1.08526369163193e-17,"radial glia","radial glia vs cycling radial glia","Gpm6b","ENSMUST00000112235.7"
"Gpm6b..ENSMUST00000112224.7",5.85961917884476e-11,0.760429744346719,0.443,0.059,1.84671758040471e-06,"radial glia","radial glia vs cycling radial glia","Gpm6b","ENSMUST00000112224.7"
"Gpm6b..ENSMUST00000060210.13",8.94187775162487e-07,0.475078166834772,0.414,0.109,0.028181221922021,"radial glia","radial glia vs cycling radial glia","Gpm6b","ENSMUST00000060210.13"
"Gpm6b..ENSMUST00000112233.7",6.29324580448205e-06,0.339226726031906,0.214,0.017,0.198337934774056,"radial glia","radial glia vs cycling radial glia","Gpm6b","ENSMUST00000112233.7"
"Gpm6b..ENSMUST00000112228.7",0.0013016353433282,-0.461568652062707,0.086,0.269,1,"cycling radial glia","radial glia vs cycling radial glia","Gpm6b","ENSMUST00000112228.7"
"Ap1s2..ENSMUST00000033734.13",2.1154223960605e-05,0.281191877115778,0.214,0.025,0.666696522342426,"radial glia","radial glia vs cycling radial glia","Ap1s2","ENSMUST00000033734.13"
"Ap1s2..ENSMUST00000069041.14",0.00206171545637409,-0.31749326538109,0,0.126,1,"cycling radial glia","radial glia vs cycling radial glia","Ap1s2","ENSMUST00000069041.14"
"Gas5..ENSMUST00000162558.7",0.000402350959103275,0.432075581225452,0.714,0.479,1,"radial glia","radial glia vs cycling radial glia","Gas5","ENSMUST00000162558.7"
"Gas5..ENSMUST00000159706.7",0.00455508868638435,-0.359834868514108,0.657,0.765,1,"cycling radial glia","radial glia vs cycling radial glia","Gas5","ENSMUST00000159706.7"
"Bnip2..ENSMUST00000034754.11",0.000758235575351477,0.295028146846671,0.271,0.084,1,"radial glia","radial glia vs cycling radial glia","Bnip2","ENSMUST00000034754.11"
"Bnip2..ENSMUST00000085393.12",0.00100302335097204,-0.392103584243537,0.057,0.235,1,"cycling radial glia","radial glia vs cycling radial glia","Bnip2","ENSMUST00000085393.12"
"Set..ENSMUST00000102866.9",0.00156044097054758,0.292889957185774,0.6,0.387,1,"radial glia","radial glia vs cycling radial glia","Set","ENSMUST00000102866.9"
"Set..ENSMUST00000067996.6",0.00794905254548633,-0.264187462646982,0.657,0.79,1,"cycling radial glia","radial glia vs cycling radial glia","Set","ENSMUST00000067996.6"
"Rpl41..ENSMUST00000177163.7",0.00172292580264829,-0.250130201405281,0.771,0.866,1,"cycling radial glia","radial glia vs cycling radial glia","Rpl41","ENSMUST00000177163.7"
"Rpl41..ENSMUST00000176010.7",0.00780030948942695,0.277538936770052,0.943,0.79,1,"radial glia","radial glia vs cycling radial glia","Rpl41","ENSMUST00000176010.7"
"Gpm6b..ENSMUST00000112235.71",3.19973896706248e-16,1.49092822737909,0.714,0.092,1.00842973285941e-11,"radial glia","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000112235.7"
"Gpm6b..ENSMUST00000060210.131",7.10720339024553e-06,0.449402289449938,0.414,0.092,0.223990622046978,"radial glia","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000060210.13"
"Gpm6b..ENSMUST00000112224.71",1.82208526818291e-05,0.541118326439707,0.443,0.126,0.574248393120525,"radial glia","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000112224.7"
"Gpm6b..ENSMUST00000112233.71",3.27364432524945e-05,0.381257508038779,0.214,0.011,1,"radial glia","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000112233.7"
"Gpm6b..ENSMUST00000112228.71",0.000118158623321067,-0.644889712418453,0.086,0.322,1,"intermediate progenitor","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000112228.7"
"Gpm6b..ENSMUST00000129731.1",0.00341030474671665,-0.518430377072063,0.143,0.322,1,"intermediate progenitor","radial glia vs intermediate progenitor","Gpm6b","ENSMUST00000129731.1"
"Meaf6..ENSMUST00000154689.7",4.18148986854338e-06,0.297745719982086,0.286,0.023,0.131783834697013,"radial glia","radial glia vs intermediate progenitor","Meaf6","ENSMUST00000154689.7"
"Meaf6..ENSMUST00000106171.8",0.0221303020513227,-0.477352931560494,0.143,0.264,1,"intermediate progenitor","radial glia vs intermediate progenitor","Meaf6","ENSMUST00000106171.8"
"Faim..ENSMUST00000035038.7",3.25548450311615e-05,0.493792838140418,0.357,0.092,1,"radial glia","radial glia vs intermediate progenitor","Faim","ENSMUST00000035038.7"
"Faim..ENSMUST00000112911.8",0.00695524540429706,-0.425699804663734,0.086,0.241,1,"intermediate progenitor","radial glia vs intermediate progenitor","Faim","ENSMUST00000112911.8"
"Ap1s2..ENSMUST00000033734.131",0.00019008193681865,0.253692622832413,0.214,0.023,1,"radial glia","radial glia vs intermediate progenitor","Ap1s2","ENSMUST00000033734.13"
"Ap1s2..ENSMUST00000069041.141",0.00583724650609978,-0.31652452330966,0,0.103,1,"intermediate progenitor","radial glia vs intermediate progenitor","Ap1s2","ENSMUST00000069041.14"
"Bnip2..ENSMUST00000034754.111",0.000410297019843913,0.293598866287895,0.271,0.057,1,"radial glia","radial glia vs intermediate progenitor","Bnip2","ENSMUST00000034754.11"
"Bnip2..ENSMUST00000085393.121",0.00433668226899005,-0.3819300060573,0.057,0.207,1,"intermediate progenitor","radial glia vs intermediate progenitor","Bnip2","ENSMUST00000085393.12"
"Pantr1..ENSMUST00000188153.6",0.000705810028398922,0.310110993555062,0.657,0.322,1,"radial glia","radial glia vs intermediate progenitor","Pantr1","ENSMUST00000188153.6"
