"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","transcriptId"
"Clta..ENSMUST00000107849.9",3.84727886127553e-23,-1.6074426180039,0.071,0.799,1.2125084059196e-18,"imature Glutamatergic","radial glia vs imature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.7",7.82421022262806e-16,0.804274868069078,0.9,0.457,2.46587809376346e-11,"radial glia","radial glia vs imature Glutamatergic","Clta","ENSMUST00000170241.7"
"Gas5..ENSMUST00000162558.7",1.01445077750793e-18,0.912218248909705,0.714,0.158,3.197143070394e-14,"radial glia","radial glia vs imature Glutamatergic","Gas5","ENSMUST00000162558.7"
"Gas5..ENSMUST00000159706.7",2.19040065949113e-13,-0.904657630239797,0.657,0.85,6.90326671845225e-09,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","ENSMUST00000159706.7"
"Pantr1..ENSMUST00000180689.7",3.61326483588958e-08,0.37071370413929,0.471,0.137,0.00113875654567896,"radial glia","radial glia vs imature Glutamatergic","Pantr1","ENSMUST00000180689.7"
"Pantr1..ENSMUST00000188153.6",7.78603589190829e-07,0.442550271342486,0.657,0.299,0.0245384707169382,"radial glia","radial glia vs imature Glutamatergic","Pantr1","ENSMUST00000188153.6"
"Pantr1..ENSMUST00000181725.7",1.16030836855121e-06,-0.575466595891298,0.814,0.889,0.0365682785432598,"imature Glutamatergic","radial glia vs imature Glutamatergic","Pantr1","ENSMUST00000181725.7"
"Clta..ENSMUST00000107849.91",1.13479359846172e-27,-1.75764583544821,0.071,0.86,3.57641550491197e-23,"mature Glutamatergic","radial glia vs mature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.71",7.54271709431188e-22,1.00651460500261,0.9,0.478,2.37716271944333e-17,"radial glia","radial glia vs mature Glutamatergic","Clta","ENSMUST00000170241.7"
"Clta..ENSMUST00000107845.3",1.47114369145155e-09,0.301644191172074,0.286,0.047,4.63645645797871e-05,"radial glia","radial glia vs mature Glutamatergic","Clta","ENSMUST00000107845.3"
"Faim..ENSMUST00000035038.7",5.91928736824506e-25,0.644543420558194,0.357,0,1.86552260697611e-20,"radial glia","radial glia vs mature Glutamatergic","Faim","ENSMUST00000035038.7"
"Faim..ENSMUST00000112911.8",6.51172180221949e-08,-0.584033106766626,0.086,0.435,0.00205223424318749,"mature Glutamatergic","radial glia vs mature Glutamatergic","Faim","ENSMUST00000112911.8"
