"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","junctionId"
"Ergic3..156011406-156015988",1.00418782704467e-36,0.33303906637082,0.7,0.03,9.29285457025406e-32,"radial glia","radial glia vs imature Glutamatergic","Ergic3","156011406-156015988"
"Ergic3..156011406-156015376",4.27864477530141e-16,-0.379364159457241,0.086,0.637,3.95950066151167e-11,"imature Glutamatergic","radial glia vs imature Glutamatergic","Ergic3","156011406-156015376"
"Ergic3..156015391-156015988",5.31824629993829e-16,-0.379327885315986,0.1,0.641,4.92155830842589e-11,"imature Glutamatergic","radial glia vs imature Glutamatergic","Ergic3","156015391-156015988"
"Clta..44025560-44030214",5.34350241274055e-25,-0.607334434075254,0.071,0.842,4.94493056777423e-20,"imature Glutamatergic","radial glia vs imature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-44032400",1.72011781195631e-24,-0.591042102789831,0.071,0.833,1.59181422436249e-19,"imature Glutamatergic","radial glia vs imature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-44032400",3.92942427078709e-17,0.390484526597392,0.929,0.487,3.63632851442908e-12,"radial glia","radial glia vs imature Glutamatergic","Clta","44025560-44032400"
"Gas5..161036852-161037287",1.85664299673027e-20,-0.660421049828798,0.786,0.974,1.71815599560416e-15,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161036852-161037287"
"Gas5..161037164-161037287",1.69459499257319e-18,0.436916354486552,0.8,0.252,1.56819515207716e-13,"radial glia","radial glia vs imature Glutamatergic","Gas5","161037164-161037287"
"Gas5..161036852-161037123",2.04796824001508e-18,0.434015246371279,0.8,0.252,1.89521028899235e-13,"radial glia","radial glia vs imature Glutamatergic","Gas5","161036852-161037123"
"Gas5..161036014-161036207",1.34190157328515e-09,-0.381686154530327,0.943,0.97,0.000124180913493381,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161036014-161036207"
"Gas5..161036579-161036819",2.7478293291743e-09,-0.369059480490785,0.943,0.979,0.000254286873951119,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161036579-161036819"
"Gas5..161035804-161035982",3.37972607480757e-09,-0.365654448249578,0.943,0.966,0.000312763230688767,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161035804-161035982"
"Gas5..161037547-161037994",1.09660617232574e-08,-0.350738666301503,0.943,0.979,0.00101481031793196,"imature Glutamatergic","radial glia vs imature Glutamatergic","Gas5","161037547-161037994"
