geneId	transcriptId	nbExons	nbUmis
Klc2	ENSMUST00000156717.1	3	16
Drg2	ENSMUST00000136484.1	2	1
RP23-42I13.3	ENSMUST00000211532.1	1	2
RP23-379L17.3	ENSMUST00000152024.1	6	2
Osbpl1a	ENSMUST00000132594.7	15	6
Trabd	ENSMUST00000169891.7	10	1
RP23-74O12.8	ENSMUST00000209283.1	1	3
Tesc	undef	0	17
Etohd2	undef	0	14
Pacrgl	undef	0	29
Fbxo44	undef	0	99
Cdkn1a	undef	0	26
Eva1c	ENSMUST00000231280.1	6	5
RP23-59N8.2	ENSMUST00000094955.2	1	15
Atg5	ENSMUST00000039286.4	8	174
RP23-212I23.3	undef	0	2
Tgm7	undef	0	1
Nectin1	undef	0	82
RP24-363O16.1	ENSMUST00000195066.1	1	33
Atp5h	undef	0	307
Znhit3	ENSMUST00000144552.7	5	13
Trmt2b	undef	0	12
Steap2	undef	0	11
Ppm1b	ENSMUST00000112304.8	6	25
Hmgb2	undef	0	999
Rab37	undef	0	4
Sec11c	undef	0	44
Mettl1	undef	0	105
Sfxn5	ENSMUST00000113788.1	4	3
Ldha	ENSMUST00000210815.1	8	1
Sema4f	ENSMUST00000125579.1	3	1
Sugp2	ENSMUST00000164403.7	10	1
Spsb2	undef	0	19
Nyap1	ENSMUST00000118326.7	6	1
RP23-455A10.1	undef	0	1
Nefh	ENSMUST00000093369.4	4	2
Bahcc1	ENSMUST00000142439.1	2	1
RP24-280H19.2	ENSMUST00000167139.1	1	1
Zfp935	undef	0	22
Kpna1	undef	0	163
Crat	ENSMUST00000028207.12	14	23
Mettl1	ENSMUST00000135655.1	2	30
Tbc1d10a	ENSMUST00000041042.12	9	34
Cmtm3	ENSMUST00000212734.1	2	2
Rbbp7	ENSMUST00000112327.7	12	5
Dffa	undef	0	58
B3gat2	undef	0	104
Zfp46	ENSMUST00000130658.1	3	2
Rad51ap1	ENSMUST00000123837.1	2	2
AC124566.2	ENSMUST00000147091.7	3	1
Rbm3	ENSMUST00000115616.7	7	675
Chrna7	ENSMUST00000208304.1	5	2
RP23-29H5.3	undef	0	12
Fam184b	undef	0	15
Gm17586	ENSMUST00000181502.1	2	1
Josd2	undef	0	64
Scn3b	ENSMUST00000049941.11	7	16
Nvl	ENSMUST00000191728.1	4	1
Gm24371	ENSMUST00000122662.1	1	15
Pgr15l	undef	0	1
Nudcd1	undef	0	61
Fam50a	undef	0	209
Zfyve19	ENSMUST00000123776.1	3	3
Med7	ENSMUST00000152119.1	2	31
Rbm5	ENSMUST00000182518.1	3	6
Gm26885	undef	0	1
Trappc5	undef	0	37
RP24-173G12.5	ENSMUST00000228830.1	1	1
Ift27	undef	0	56
Il13ra1	undef	0	2
Derl2	ENSMUST00000018586.5	6	2
Syce1	undef	0	1
Phrf1	ENSMUST00000106027.8	18	3
RP23-204C16.2	ENSMUST00000163781.1	2	3
Rpap2	ENSMUST00000112655.7	12	1
Zbtb16	undef	0	16
Ywhae	ENSMUST00000153038.7	4	8
Desi1	ENSMUST00000146628.7	5	34
Ubxn11	undef	0	66
Top2a	ENSMUST00000139460.1	3	3
Rfk	undef	0	72
Zfp60	ENSMUST00000042641.13	5	18
Usp5	undef	0	160
Hnrnpab	undef	0	2344
Btf3	ENSMUST00000133461.1	2	5
Arhgef40	undef	0	133
AC127339.2	ENSMUST00000077376.2	3	190
Pign	ENSMUST00000185209.1	2	10
RP23-144D10.4	undef	0	2
0610009O20Rik	ENSMUST00000025314.5	13	123
RP23-32A8.5	undef	0	5
Uchl3	ENSMUST00000002289.7	9	1148
RP23-341J13.3	ENSMUST00000203393.1	1	4
Cdk2ap1	ENSMUST00000111472.5	4	26
Mdh1	ENSMUST00000102874.10	9	2021
Afg3l1	ENSMUST00000001520.12	17	179
Xpr1	ENSMUST00000139925.1	5	4
Top1	ENSMUST00000109468.2	21	8
Nepro	ENSMUST00000048788.13	9	5
Cand1	ENSMUST00000148802.1	2	1
Ugcg	ENSMUST00000133996.1	3	2
Dctn2	undef	0	1223
Gas1	undef	0	279
Bcl2l1	ENSMUST00000109820.4	3	26
Cr2	undef	0	2
Kbtbd8	ENSMUST00000032107.9	4	2
S100a6	ENSMUST00000001051.8	3	36
Camp	undef	0	4
Tmem165	ENSMUST00000031144.13	6	52
Fmr1	undef	0	268
Cep70	ENSMUST00000190715.6	6	43
Trub2	ENSMUST00000177467.7	7	4
Ddr1	ENSMUST00000097333.9	17	17
Riok3	undef	0	441
Nr4a3	ENSMUST00000133539.1	3	1
RP23-244H7.4	ENSMUST00000118786.1	1	39
Atp11c	undef	0	82
Fbxl7	ENSMUST00000226377.1	2	20
Vstm2a	ENSMUST00000208926.1	5	6
Psme3	ENSMUST00000131170.1	6	6
Cela1	ENSMUST00000230572.1	4	1
Spa17	ENSMUST00000215336.1	2	1
Lnpk	ENSMUST00000134641.7	12	1
RP23-396N4.2	undef	0	1
Zfp946	ENSMUST00000120222.7	7	31
Tcf3	ENSMUST00000105343.7	19	17
Bcat2	ENSMUST00000209569.1	6	8
Hbp1	ENSMUST00000172314.8	11	51
Tpk1	undef	0	7
Sbds	ENSMUST00000139211.4	5	4
Pip5k1a	ENSMUST00000107229.1	2	42
Rgs2	ENSMUST00000027606.3	4	1
Rtn4	ENSMUST00000078830.10	7	241
RP23-375E13.6	ENSMUST00000201035.1	1	1
Vegfb	undef	0	180
RP23-463K8.8	undef	0	1
Cdc6	ENSMUST00000092706.12	12	19
Tmbim6	ENSMUST00000023749.14	10	483
Erf	undef	0	53
Nkrf	ENSMUST00000057093.6	3	17
Il1rl2	undef	0	1
Tsga10	ENSMUST00000155852.6	8	15
RP23-398F20.1	ENSMUST00000218767.1	1	10
Gng11	ENSMUST00000031670.9	2	31
Ywhag	ENSMUST00000129581.1	2	2
Prelid3a	undef	0	591
Ttc33	ENSMUST00000081640.11	4	32
Cxcl12	ENSMUST00000134244.1	3	31
Slc32a1	ENSMUST00000045738.4	2	134
Bzw1	undef	0	748
Mon1a	undef	0	99
Ppip5k2	undef	0	167
Ube2n	undef	0	199
Daxx	ENSMUST00000170075.8	8	1
Vps52	ENSMUST00000025178.15	20	15
RP23-191A12.5	undef	0	1
Ror2	ENSMUST00000021918.8	9	3
Bola3	ENSMUST00000136501.1	4	237
Mrrf	undef	0	79
Glyr1	ENSMUST00000023189.14	16	95
Bag4	ENSMUST00000209948.1	2	10
RP23-9O13.5	undef	0	4
Sec14l2	undef	0	3
Psrc1	undef	0	78
Ap3s1	ENSMUST00000224622.1	7	36
Atp8a1	ENSMUST00000135930.7	36	1
Plcb1	undef	0	235
Gm24366	ENSMUST00000175383.1	1	11
Yrdc	undef	0	19
Dbndd1	ENSMUST00000177240.7	3	21
Nmrk1	undef	0	12
RP23-292K4.3	undef	0	1
Grip1	ENSMUST00000105262.8	23	2
Iqgap1	ENSMUST00000167377.2	38	1
Susd3	undef	0	1
Mpzl3	undef	0	9
Tmem267	ENSMUST00000178948.1	2	3
